path,file_name,stem,extension,bucket,family,width,height,status
assets/derived/contacts/buding-character-states-v1__contact.png,buding-character-states-v1__contact.png,buding-character-states-v1__contact,.png,contact,character,980,800,derived
assets/derived/contacts/core-objects-and-badges-v1__contact.png,core-objects-and-badges-v1__contact.png,core-objects-and-badges-v1__contact,.png,contact,object,980,1760,derived
assets/derived/contacts/drink-stickers-and-status-tags-v1__contact.png,drink-stickers-and-status-tags-v1__contact.png,drink-stickers-and-status-tags-v1__contact,.png,contact,drink,980,1520,derived
assets/derived/contacts/food-stickers-fruit-snacks-combos-v1__contact.png,food-stickers-fruit-snacks-combos-v1__contact.png,food-stickers-fruit-snacks-combos-v1__contact,.png,contact,food,980,1520,derived
assets/derived/contacts/food-stickers-staples-protein-veg-v1__contact.png,food-stickers-staples-protein-veg-v1__contact.png,food-stickers-staples-protein-veg-v1__contact,.png,contact,food,980,1280,derived
assets/derived/contacts/transparent-sheets/buding-character-states-v1__transparent.png,buding-character-states-v1__transparent.png,buding-character-states-v1__transparent,.png,contact,character,1448,1086,derived
assets/derived/contacts/transparent-sheets/core-objects-and-badges-v1__transparent.png,core-objects-and-badges-v1__transparent.png,core-objects-and-badges-v1__transparent,.png,contact,object,1448,1086,derived
assets/derived/contacts/transparent-sheets/drink-stickers-and-status-tags-v1__transparent.png,drink-stickers-and-status-tags-v1__transparent.png,drink-stickers-and-status-tags-v1__transparent,.png,contact,drink,1448,1086,derived
assets/derived/contacts/transparent-sheets/food-stickers-fruit-snacks-combos-v1__transparent.png,food-stickers-fruit-snacks-combos-v1__transparent.png,food-stickers-fruit-snacks-combos-v1__transparent,.png,contact,food,1448,1086,derived
assets/derived/contacts/transparent-sheets/food-stickers-staples-protein-veg-v1__transparent.png,food-stickers-staples-protein-veg-v1__transparent.png,food-stickers-staples-protein-veg-v1__transparent,.png,contact,food,1448,1086,derived
assets/derived/contacts/transparent-sheets/ui-icons-effects-and-secondary-states-v1__transparent.png,ui-icons-effects-and-secondary-states-v1__transparent.png,ui-icons-effects-and-secondary-states-v1__transparent,.png,contact,ui,1448,1086,derived
assets/derived/contacts/ui-icons-effects-and-secondary-states-v1__contact.png,ui-icons-effects-and-secondary-states-v1__contact.png,ui-icons-effects-and-secondary-states-v1__contact,.png,contact,ui,980,2480,derived
assets/derived/cutouts/buding-character-states-v1/buding-character-states-v1__01.png,buding-character-states-v1__01.png,buding-character-states-v1__01,.png,cutout,character,267,357,derived
assets/derived/cutouts/buding-character-states-v1/buding-character-states-v1__02.png,buding-character-states-v1__02.png,buding-character-states-v1__02,.png,cutout,character,249,346,derived
assets/derived/cutouts/buding-character-states-v1/buding-character-states-v1__03.png,buding-character-states-v1__03.png,buding-character-states-v1__03,.png,cutout,character,262,344,derived
assets/derived/cutouts/buding-character-states-v1/buding-character-states-v1__04.png,buding-character-states-v1__04.png,buding-character-states-v1__04,.png,cutout,character,289,354,derived
assets/derived/cutouts/buding-character-states-v1/buding-character-states-v1__05.png,buding-character-states-v1__05.png,buding-character-states-v1__05,.png,cutout,character,258,338,derived
assets/derived/cutouts/buding-character-states-v1/buding-character-states-v1__06.png,buding-character-states-v1__06.png,buding-character-states-v1__06,.png,cutout,character,332,344,derived
assets/derived/cutouts/buding-character-states-v1/buding-character-states-v1__07.png,buding-character-states-v1__07.png,buding-character-states-v1__07,.png,cutout,character,270,329,derived
assets/derived/cutouts/buding-character-states-v1/buding-character-states-v1__08.png,buding-character-states-v1__08.png,buding-character-states-v1__08,.png,cutout,character,260,327,derived
assets/derived/cutouts/buding-character-states-v1/buding-character-states-v1__09.png,buding-character-states-v1__09.png,buding-character-states-v1__09,.png,cutout,character,273,326,derived
assets/derived/cutouts/buding-character-states-v1/buding-character-states-v1__10.png,buding-character-states-v1__10.png,buding-character-states-v1__10,.png,cutout,character,259,320,derived
assets/derived/cutouts/buding-character-states-v1/buding-character-states-v1__11.png,buding-character-states-v1__11.png,buding-character-states-v1__11,.png,cutout,character,249,329,derived
assets/derived/cutouts/buding-character-states-v1/buding-character-states-v1__12.png,buding-character-states-v1__12.png,buding-character-states-v1__12,.png,cutout,character,349,264,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__01.png,core-objects-and-badges-v1__01.png,core-objects-and-badges-v1__01,.png,cutout,object,266,175,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__02.png,core-objects-and-badges-v1__02.png,core-objects-and-badges-v1__02,.png,cutout,object,266,177,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__03.png,core-objects-and-badges-v1__03.png,core-objects-and-badges-v1__03,.png,cutout,object,265,196,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__04.png,core-objects-and-badges-v1__04.png,core-objects-and-badges-v1__04,.png,cutout,object,270,222,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__05.png,core-objects-and-badges-v1__05.png,core-objects-and-badges-v1__05,.png,cutout,object,344,248,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__06.png,core-objects-and-badges-v1__06.png,core-objects-and-badges-v1__06,.png,cutout,object,203,252,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__07.png,core-objects-and-badges-v1__07.png,core-objects-and-badges-v1__07,.png,cutout,object,203,252,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__08.png,core-objects-and-badges-v1__08.png,core-objects-and-badges-v1__08,.png,cutout,object,202,252,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__09.png,core-objects-and-badges-v1__09.png,core-objects-and-badges-v1__09,.png,cutout,object,202,253,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__10.png,core-objects-and-badges-v1__10.png,core-objects-and-badges-v1__10,.png,cutout,object,201,253,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__11.png,core-objects-and-badges-v1__11.png,core-objects-and-badges-v1__11,.png,cutout,object,224,260,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__12.png,core-objects-and-badges-v1__12.png,core-objects-and-badges-v1__12,.png,cutout,object,201,253,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__13.png,core-objects-and-badges-v1__13.png,core-objects-and-badges-v1__13,.png,cutout,object,334,186,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__14.png,core-objects-and-badges-v1__14.png,core-objects-and-badges-v1__14,.png,cutout,object,338,180,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__15.png,core-objects-and-badges-v1__15.png,core-objects-and-badges-v1__15,.png,cutout,object,355,244,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__16.png,core-objects-and-badges-v1__16.png,core-objects-and-badges-v1__16,.png,cutout,object,368,239,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__17.png,core-objects-and-badges-v1__17.png,core-objects-and-badges-v1__17,.png,cutout,object,146,140,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__18.png,core-objects-and-badges-v1__18.png,core-objects-and-badges-v1__18,.png,cutout,object,146,140,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__19.png,core-objects-and-badges-v1__19.png,core-objects-and-badges-v1__19,.png,cutout,object,146,140,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__20.png,core-objects-and-badges-v1__20.png,core-objects-and-badges-v1__20,.png,cutout,object,146,140,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__21.png,core-objects-and-badges-v1__21.png,core-objects-and-badges-v1__21,.png,cutout,object,122,124,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__22.png,core-objects-and-badges-v1__22.png,core-objects-and-badges-v1__22,.png,cutout,object,122,124,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__23.png,core-objects-and-badges-v1__23.png,core-objects-and-badges-v1__23,.png,cutout,object,123,125,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__24.png,core-objects-and-badges-v1__24.png,core-objects-and-badges-v1__24,.png,cutout,object,123,125,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__25.png,core-objects-and-badges-v1__25.png,core-objects-and-badges-v1__25,.png,cutout,object,122,125,derived
assets/derived/cutouts/core-objects-and-badges-v1/core-objects-and-badges-v1__26.png,core-objects-and-badges-v1__26.png,core-objects-and-badges-v1__26,.png,cutout,object,174,168,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__01.png,drink-stickers-and-status-tags-v1__01.png,drink-stickers-and-status-tags-v1__01,.png,cutout,drink,183,376,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__02.png,drink-stickers-and-status-tags-v1__02.png,drink-stickers-and-status-tags-v1__02,.png,cutout,drink,246,370,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__03.png,drink-stickers-and-status-tags-v1__03.png,drink-stickers-and-status-tags-v1__03,.png,cutout,drink,249,300,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__04.png,drink-stickers-and-status-tags-v1__04.png,drink-stickers-and-status-tags-v1__04,.png,cutout,drink,251,374,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__05.png,drink-stickers-and-status-tags-v1__05.png,drink-stickers-and-status-tags-v1__05,.png,cutout,drink,266,327,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__06.png,drink-stickers-and-status-tags-v1__06.png,drink-stickers-and-status-tags-v1__06,.png,cutout,drink,230,341,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__07.png,drink-stickers-and-status-tags-v1__07.png,drink-stickers-and-status-tags-v1__07,.png,cutout,drink,240,328,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__08.png,drink-stickers-and-status-tags-v1__08.png,drink-stickers-and-status-tags-v1__08,.png,cutout,drink,220,340,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__09.png,drink-stickers-and-status-tags-v1__09.png,drink-stickers-and-status-tags-v1__09,.png,cutout,drink,168,342,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__10.png,drink-stickers-and-status-tags-v1__10.png,drink-stickers-and-status-tags-v1__10,.png,cutout,drink,171,342,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__11.png,drink-stickers-and-status-tags-v1__11.png,drink-stickers-and-status-tags-v1__11,.png,cutout,drink,271,195,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__12.png,drink-stickers-and-status-tags-v1__12.png,drink-stickers-and-status-tags-v1__12,.png,cutout,drink,271,196,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__13.png,drink-stickers-and-status-tags-v1__13.png,drink-stickers-and-status-tags-v1__13,.png,cutout,drink,271,195,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__14.png,drink-stickers-and-status-tags-v1__14.png,drink-stickers-and-status-tags-v1__14,.png,cutout,drink,272,196,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__15.png,drink-stickers-and-status-tags-v1__15.png,drink-stickers-and-status-tags-v1__15,.png,cutout,drink,139,139,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__16.png,drink-stickers-and-status-tags-v1__16.png,drink-stickers-and-status-tags-v1__16,.png,cutout,drink,142,144,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__17.png,drink-stickers-and-status-tags-v1__17.png,drink-stickers-and-status-tags-v1__17,.png,cutout,drink,136,137,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__18.png,drink-stickers-and-status-tags-v1__18.png,drink-stickers-and-status-tags-v1__18,.png,cutout,drink,137,139,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__19.png,drink-stickers-and-status-tags-v1__19.png,drink-stickers-and-status-tags-v1__19,.png,cutout,drink,143,144,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__20.png,drink-stickers-and-status-tags-v1__20.png,drink-stickers-and-status-tags-v1__20,.png,cutout,drink,142,143,derived
assets/derived/cutouts/drink-stickers-and-status-tags-v1/drink-stickers-and-status-tags-v1__21.png,drink-stickers-and-status-tags-v1__21.png,drink-stickers-and-status-tags-v1__21,.png,cutout,drink,143,143,derived
